PING 172.16.114.238 (172.16.114.238) 56(84) bytes of data.
64 bytes from 172.16.114.238: icmp_seq=270 ttl=61 time=3.87 ms
64 bytes from 172.16.114.238: icmp_seq=271 ttl=61 time=0.354 ms
64 bytes from 172.16.114.238: icmp_seq=272 ttl=61 time=0.378 ms
64 bytes from 172.16.114.238: icmp_seq=273 ttl=61 time=0.393 ms
64 bytes from 172.16.114.238: icmp_seq=274 ttl=61 time=0.439 ms
64 bytes from 172.16.114.238: icmp_seq=275 ttl=61 time=0.245 ms
64 bytes from 172.16.114.238: icmp_seq=276 ttl=61 time=0.363 ms
64 bytes from 172.16.114.238: icmp_seq=277 ttl=61 time=0.301 ms
64 bytes from 172.16.114.238: icmp_seq=278 ttl=61 time=0.304 ms
64 bytes from 172.16.114.238: icmp_seq=279 ttl=61 time=0.373 ms
64 bytes from 172.16.114.238: icmp_seq=280 ttl=61 time=0.421 ms
64 bytes from 172.16.114.238: icmp_seq=281 ttl=61 time=0.485 ms
64 bytes from 172.16.114.238: icmp_seq=282 ttl=61 time=0.520 ms
64 bytes from 172.16.114.238: icmp_seq=283 ttl=61 time=0.298 ms
64 bytes from 172.16.114.238: icmp_seq=284 ttl=61 time=0.474 ms
64 bytes from 172.16.114.238: icmp_seq=285 ttl=61 time=0.526 ms
64 bytes from 172.16.114.238: icmp_seq=286 ttl=61 time=0.483 ms
64 bytes from 172.16.114.238: icmp_seq=287 ttl=61 time=0.518 ms
64 bytes from 172.16.114.238: icmp_seq=288 ttl=61 time=0.619 ms
64 bytes from 172.16.114.238: icmp_seq=289 ttl=61 time=0.422 ms
64 bytes from 172.16.114.238: icmp_seq=290 ttl=61 time=0.495 ms
64 bytes from 172.16.114.238: icmp_seq=291 ttl=61 time=0.484 ms
64 bytes from 172.16.114.238: icmp_seq=292 ttl=61 time=0.353 ms
64 bytes from 172.16.114.238: icmp_seq=293 ttl=61 time=0.377 ms
64 bytes from 172.16.114.238: icmp_seq=294 ttl=61 time=0.264 ms
64 bytes from 172.16.114.238: icmp_seq=295 ttl=61 time=0.365 ms
64 bytes from 172.16.114.238: icmp_seq=296 ttl=61 time=0.358 ms
64 bytes from 172.16.114.238: icmp_seq=297 ttl=61 time=0.973 ms
64 bytes from 172.16.114.238: icmp_seq=298 ttl=61 time=0.342 ms
64 bytes from 172.16.114.238: icmp_seq=299 ttl=61 time=0.397 ms
64 bytes from 172.16.114.238: icmp_seq=300 ttl=61 time=0.326 ms
64 bytes from 172.16.114.238: icmp_seq=301 ttl=61 time=0.338 ms
64 bytes from 172.16.114.238: icmp_seq=302 ttl=61 time=0.335 ms
64 bytes from 172.16.114.238: icmp_seq=303 ttl=61 time=0.502 ms
64 bytes from 172.16.114.238: icmp_seq=304 ttl=61 time=0.269 ms
64 bytes from 172.16.114.238: icmp_seq=305 ttl=61 time=0.499 ms
64 bytes from 172.16.114.238: icmp_seq=306 ttl=61 time=0.350 ms
64 bytes from 172.16.114.238: icmp_seq=307 ttl=61 time=0.515 ms
64 bytes from 172.16.114.238: icmp_seq=308 ttl=61 time=0.398 ms
64 bytes from 172.16.114.238: icmp_seq=309 ttl=61 time=0.308 ms
64 bytes from 172.16.114.238: icmp_seq=310 ttl=61 time=0.542 ms
64 bytes from 172.16.114.238: icmp_seq=311 ttl=61 time=0.367 ms
64 bytes from 172.16.114.238: icmp_seq=312 ttl=61 time=0.765 ms
64 bytes from 172.16.114.238: icmp_seq=313 ttl=61 time=0.504 ms
64 bytes from 172.16.114.238: icmp_seq=314 ttl=61 time=0.499 ms
64 bytes from 172.16.114.238: icmp_seq=315 ttl=61 time=0.533 ms
64 bytes from 172.16.114.238: icmp_seq=316 ttl=61 time=0.510 ms
64 bytes from 172.16.114.238: icmp_seq=317 ttl=61 time=0.481 ms
64 bytes from 172.16.114.238: icmp_seq=318 ttl=61 time=0.405 ms
64 bytes from 172.16.114.238: icmp_seq=319 ttl=61 time=0.357 ms
64 bytes from 172.16.114.238: icmp_seq=320 ttl=61 time=0.385 ms
64 bytes from 172.16.114.238: icmp_seq=321 ttl=61 time=0.335 ms
64 bytes from 172.16.114.238: icmp_seq=322 ttl=61 time=0.553 ms
64 bytes from 172.16.114.238: icmp_seq=323 ttl=61 time=0.594 ms
64 bytes from 172.16.114.238: icmp_seq=324 ttl=61 time=0.362 ms
64 bytes from 172.16.114.238: icmp_seq=325 ttl=61 time=0.538 ms
64 bytes from 172.16.114.238: icmp_seq=326 ttl=61 time=0.368 ms
